Source	Target	weight
group_1	group_233	1.23276e-15
group_1	group_284	1.26111e-14
group_1	group_264	5.36882e-15
group_1	group_4	5.36882e-15
group_1	group_277	1.26387e-12
group_1	group_498	5.40477e-13
group_1	group_194	3.96479e-12
group_1	group_125	8.61899e-11
group_1	group_224	3.86433e-11
group_1	group_115	6.33053e-08
group_1	group_300	3.72113e-10
group_1	group_282	5.1623e-11
group_1	group_590	1.60196e-10
group_1	group_269	4.95793e-10
group_1	group_122	6.72241e-07
group_1	sp-P77515-STFQ_ECOLI~~~sp-P76072-STFR_ECOLI	4.44613e-08
group_1	group_223	3.12833e-07
group_1	sp-P33342-YEHC_ECOLI	4.44613e-08
group_1	group_174	4.44613e-08
group_1	sp-P33341-YEHB_ECOLI	4.44613e-08
group_1	sp-Q79E92-YKGN_ECOLI	4.44613e-08
group_1	group_40	3.12833e-07
group_1	sp-P0AG11-UMUD_ECOLI~~~sp-P0AG13-UMUD_SHIFL	4.16884e-07
group_100	group_52	2.94507e-08
group_100	group_61	2.00008e-07
group_100	group_97	2.48164e-10
group_100	group_369	7.16935e-08
group_100	sp-O68770-DPO3A_YERPE	1.75675e-09
group_100	group_65	6.81006e-13
group_100	group_112	1.05123e-13
group_100	group_305	5.45481e-14
group_100	group_109	5.45481e-14
group_100	group_591	6.21811e-11
group_100	group_522	6.21811e-11
group_100	group_296	2.63155e-10
group_100	sp-P03014-PINE_ECOLI	6.21811e-11
group_100	group_259	2.78056e-14
group_100	group_258	2.78056e-14
group_100	group_242	3.1355e-12
group_100	group_232	6.21811e-11
group_100	group_107	1.39129e-14
group_100	group_87	1.39129e-14
group_100	group_216	1.54581e-15
group_100	group_490	9.24966e-12
group_100	sp-P62591-INT2_PSEAI	9.24966e-12
group_100	group_213	1.22592e-14
group_100	group_254	3.79416e-08
group_100	sp-P06694-TNP2_ECOLX	1.16673e-11
group_100	group_78	2.43988e-15
group_100	group_597	2.78447e-12
group_100	sp-P26837-YPS1_ECOLX	5.17537e-13
group_100	sp-P0A043-T431_STAAM~~~sp-P0A045-T431_STAAW	1.44379e-11
group_100	sp-Q49184-DHP1_MYCFO	2.78447e-12
group_100	group_600	1.30737e-12
group_100	group_400	6.98926e-12
group_100	group_227	2.35677e-13
group_100	group_527	1.74811e-11
group_100	group_494	5.96533e-13
group_100	sp-P0AA23-EBR_SALTM	1.74811e-11
group_100	group_598	9.47892e-12
group_100	sp-P0C1L0-T431_STAA8	1.67812e-12
group_100	sp-P78218-DYR15_ECOLX~~~sp-P11731-DYR5_ECOLX	5.14368e-11
group_101	group_128	8.14254e-08
group_101	group_53	8.54813e-08
group_101	group_292	2.43744e-10
group_101	sp-P74007-SPOT_SYNY3	3.01908e-09
group_101	group_262	4.17578e-07
group_101	group_94	1.85655e-09
group_107	group_298	6.39096e-07
group_107	group_248	6.39096e-07
group_107	group_52	4.26989e-09
group_107	group_61	2.29963e-07
group_107	group_97	1.19168e-08
group_107	group_369	2.1375e-08
group_107	sp-O68770-DPO3A_YERPE	4.71703e-10
group_107	group_65	6.45614e-15
group_107	group_112	1.47628e-16
group_107	group_305	9.25965e-15
group_107	group_109	6.82716e-17
group_107	group_591	9.93041e-12
group_107	group_522	9.93041e-12
group_107	group_296	4.21883e-11
group_107	sp-P03014-PINE_ECOLI	9.93041e-12
group_107	group_259	4.48755e-15
group_107	group_258	4.48755e-15
group_107	group_242	5.00031e-13
group_107	group_232	9.93041e-12
group_107	group_87	1.37159e-17
group_107	group_216	2.00771e-16
group_107	group_490	4.58401e-12
group_107	sp-P62591-INT2_PSEAI	4.58401e-12
group_107	group_213	6.8157e-15
group_107	group_254	4.01499e-09
group_107	sp-P06694-TNP2_ECOLX	2.05846e-13
group_107	group_78	3.8848e-14
group_107	group_597	5.81133e-12
group_107	sp-P26837-YPS1_ECOLX	1.14635e-12
group_107	sp-P0A043-T431_STAAM~~~sp-P0A045-T431_STAAW	1.33947e-10
group_107	sp-Q49184-DHP1_MYCFO	5.81133e-12
group_107	group_600	2.6915e-12
group_107	group_400	1.35717e-11
group_107	group_227	2.6915e-12
group_107	group_527	3.15897e-11
group_107	group_494	1.21026e-12
group_107	sp-P0AA23-EBR_SALTM	3.15897e-11
group_107	group_598	7.91648e-11
group_107	sp-P0C1L0-T431_STAA8	1.54114e-11
group_107	sp-P78218-DYR15_ECOLX~~~sp-P11731-DYR5_ECOLX	3.90696e-10
group_108	group_264	4.78647e-07
group_108	group_4	4.78647e-07
group_108	group_498	9.50077e-07
group_108	group_300	1.84759e-07
group_108	sp-P33342-YEHC_ECOLI	6.89767e-09
group_108	group_174	6.89767e-09
group_108	sp-P33341-YEHB_ECOLI	6.89767e-09
group_108	sp-P0AG11-UMUD_ECOLI~~~sp-P0AG13-UMUD_SHIFL	2.62786e-08
group_109	group_52	1.51792e-08
group_109	group_61	2.41426e-07
group_109	group_97	3.88466e-08
group_109	group_369	6.45265e-08
group_109	sp-O68770-DPO3A_YERPE	1.60131e-09
group_109	group_65	6.30301e-15
group_109	group_112	7.16978e-16
group_109	group_305	3.95588e-14
group_109	group_591	3.41021e-11
group_109	group_522	3.41021e-11
group_109	group_296	1.38471e-10
group_109	sp-P03014-PINE_ECOLI	3.41021e-11
group_109	group_259	1.93317e-14
group_109	group_258	1.93317e-14
group_109	group_242	1.87996e-12
group_109	group_232	3.41021e-11
group_109	group_87	6.82716e-17
group_109	group_216	8.94008e-16
group_109	group_490	1.47171e-11
group_109	sp-P62591-INT2_PSEAI	1.47171e-11
group_109	group_213	2.61921e-14
group_109	group_254	1.03937e-08
group_109	sp-P06694-TNP2_ECOLX	7.02986e-13
group_109	group_78	1.38758e-13
group_109	group_597	1.76478e-11
group_109	sp-P26837-YPS1_ECOLX	3.6404e-12
group_109	sp-P0A043-T431_STAAM~~~sp-P0A045-T431_STAAW	3.72021e-10
group_109	sp-Q49184-DHP1_MYCFO	1.76478e-11
group_109	group_600	8.24314e-12
group_109	group_400	3.97508e-11
group_109	group_227	8.24314e-12
group_109	group_527	8.92462e-11
group_109	group_494	3.73814e-12
group_109	sp-P0AA23-EBR_SALTM	8.92462e-11
group_109	group_598	2.09923e-10
group_109	sp-P0C1L0-T431_STAA8	4.27226e-11
group_109	sp-P78218-DYR15_ECOLX~~~sp-P11731-DYR5_ECOLX	9.91055e-10
group_111	group_117	2.52535e-09
group_112	group_52	9.75309e-10
group_112	group_61	5.06785e-08
group_112	group_97	6.81929e-08
group_112	group_369	1.09243e-07
group_112	sp-O68770-DPO3A_YERPE	2.871e-09
group_112	group_65	6.02993e-14
group_112	group_305	7.94104e-14
group_112	group_591	6.15892e-11
group_112	group_522	6.15892e-11
group_112	group_296	2.44659e-10
group_112	sp-P03014-PINE_ECOLI	6.15892e-11
group_112	group_259	3.89686e-14
group_112	group_258	3.89686e-14
group_112	group_242	3.54765e-12
group_112	group_232	6.15892e-11
group_112	group_87	1.47628e-16
group_112	group_216	1.8323e-15
group_112	group_490	2.57552e-11
