Source	Target	p	successes (OA(ij))	observations	expected (EA(ij))	total source	total target	fraction source	fraction target
group_1	group_115	6.33053e-08	17	204	3	31	22	0.151961	0.107843
group_1	group_122	6.72241e-07	13	204	2	31	15	0.151961	0.0735294
group_1	group_125	8.61899e-11	21	204	3	31	23	0.151961	0.112745
group_1	group_174	4.44613e-08	14	204	2	31	14	0.151961	0.0686275
group_1	group_194	3.96479e-12	23	204	4	31	24	0.151961	0.117647
group_1	group_223	3.12833e-07	13	204	2	31	14	0.151961	0.0686275
group_1	group_224	3.86433e-11	21	204	3	31	22	0.151961	0.107843
group_1	group_233	1.23276e-15	30	204	5	31	31	0.151961	0.151961
group_1	group_264	5.36882e-15	28	204	4	31	28	0.151961	0.137255
group_1	group_269	4.95793e-10	18	204	3	31	18	0.151961	0.0882353
group_1	group_277	1.26387e-12	24	204	4	31	25	0.151961	0.122549
group_1	group_282	5.1623e-11	20	204	3	31	20	0.151961	0.0980392
group_1	group_284	1.26111e-14	28	204	4	31	29	0.151961	0.142157
group_1	group_300	3.72113e-10	19	204	3	31	20	0.151961	0.0980392
group_1	group_4	5.36882e-15	28	204	4	31	28	0.151961	0.137255
group_1	group_40	3.12833e-07	13	204	2	31	14	0.151961	0.0686275
group_1	group_498	5.40477e-13	24	204	4	31	24	0.151961	0.117647
group_1	group_590	1.60196e-10	19	204	3	31	19	0.151961	0.0931373
group_447	group_500	1.83273e-09	19	204	3	36	19	0.176471	0.0931373
group_447	group_523	1.34509e-16	35	204	6	36	35	0.176471	0.171569
group_447	group_546	3.66694e-08	16	204	3	36	16	0.176471	0.0784314
group_447	group_549	4.67537e-17	36	204	6	36	36	0.176471	0.176471
group_447	group_566	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_447	group_59	3.74132e-08	35	204	13	36	71	0.176471	0.348039
group_447	group_6	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_1	sp-P0AG11-UMUD_ECOLI~~~sp-P0AG13-UMUD_SHIFL	4.16884e-07	12	204	2	31	12	0.151961	0.0588235
group_447	group_607	4.40255e-15	34	204	7	36	37	0.176471	0.181373
group_447	group_608	1.54412e-15	35	204	7	36	38	0.176471	0.186275
group_1	sp-P33341-YEHB_ECOLI	4.44613e-08	14	204	2	31	14	0.151961	0.0686275
group_1	sp-P33342-YEHC_ECOLI	4.44613e-08	14	204	2	31	14	0.151961	0.0686275
group_447	group_82	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_1	sp-P77515-STFQ_ECOLI~~~sp-P76072-STFR_ECOLI	4.44613e-08	14	204	2	31	14	0.151961	0.0686275
group_447	group_85	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_447	sp-A9R2J1-XNI_YERPG	3.66694e-08	16	204	3	36	16	0.176471	0.0784314
group_1	sp-Q79E92-YKGN_ECOLI	4.44613e-08	14	204	2	31	14	0.151961	0.0686275
group_447	sp-C0SP84-YTLA_BACSU	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_447	sp-O82898-YUBF_ECO57	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_447	sp-O82899-YUBG_ECO57~~~sp-Q9S4W9-YUBG_ECOLI	3.11623e-16	35	204	6	36	36	0.176471	0.176471
group_447	sp-P07620-PARA_ECOLX	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_447	sp-P0A248-VIRB_SHISO	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_100	group_107	1.39129e-14	39	204	9	41	45	0.20098	0.220588
group_100	group_109	5.45481e-14	39	204	9	41	47	0.20098	0.230392
group_447	sp-P15026-ISTB_PSEAI	1.54412e-15	35	204	7	36	38	0.176471	0.186275
group_447	sp-P23832-SAMB_SALTM	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_100	group_112	1.05123e-13	39	204	10	41	48	0.20098	0.235294
group_447	sp-P26926-CAF1M_YERPE	2.00817e-15	34	204	6	36	36	0.176471	0.176471
group_447	sp-P26948-CAF1_YERPE	2.00817e-15	34	204	6	36	36	0.176471	0.176471
group_447	sp-P26949-CAF1A_YERPE	2.00817e-15	34	204	6	36	36	0.176471	0.176471
group_447	sp-P26950-CAF1R_YERPE	2.00817e-15	34	204	6	36	36	0.176471	0.176471
group_447	sp-P37415-YTL2_SALTY	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_447	sp-P55615-Y4PF_SINFN~~~sp-Q9HI37-TPF20_PSEAE	7.02638e-16	35	204	7	36	37	0.176471	0.181373
group_447	sp-P59696-T200_SALTY	3.11623e-16	35	204	6	36	36	0.176471	0.176471
