Source	Target	weight
group_1	group_164	9.84528e-23
group_1	group_159	6.91904e-16
group_1	group_36	4.56075e-21
group_1	group_251	1.73071e-18
group_1	sp-P43754-RIR1_HAEIN~~~sp-P37426-RIR1_SALTY~~~sp-Q89AS4-RIR1_BUCBP~~~sp-Q8K9W3-RIR1_BUCAP	6.9698e-09
group_1	sp-P43755-RIR2_HAEIN	1.48897e-09
group_1	group_149	2.23931e-09
group_1	group_154	4.90691e-09
group_1	sp-P0A9K1-PHOH_ECOLI	1.1706e-07
group_1	group_252	7.85327e-08
group_1	group_249	1.07183e-07
group_1	group_8	3.47684e-07
group_100	group_28	7.19125e-16
group_100	group_160	1.44071e-12
group_100	group_252	2.11438e-09
group_101	group_81	8.49384e-08
group_101	group_52	9.55167e-07
group_101	sp-O68770-DPO3A_YERPE	5.49539e-11
group_101	group_112	3.78864e-07
group_101	group_216	4.29409e-07
group_101	group_608	1.01921e-07
group_101	group_490	1.01921e-07
group_101	sp-P62591-INT2_PSEAI	1.01921e-07
group_101	sp-P15026-ISTB_PSEAI	1.01921e-07
group_101	sp-Q45618-TRA6_GEOSE	1.01921e-07
group_101	group_213	2.0365e-08
group_101	sp-Q45618-TRA6_GEOSE~~~sp-P15026-ISTB_PSEAI	1.01921e-07
group_101	group_607	2.2525e-07
group_101	group_566	4.7119e-08
group_101	group_410	4.7119e-08
group_101	group_397	4.7119e-08
group_101	group_349	4.7119e-08
group_101	group_285	4.7119e-08
group_101	sp-C0SP84-YTLA_BACSU	4.7119e-08
group_101	group_263	4.7119e-08
group_101	sp-P07620-PARA_ECOLX	4.7119e-08
group_101	sp-P37415-YTL2_SALTY	4.7119e-08
group_101	sp-Q9S4X2-YUBD_ECOLI	4.7119e-08
group_101	sp-Q47688-YKFC_ECOLI	4.7119e-08
group_101	sp-Q52563-STBA_PSEUB	4.7119e-08
group_101	group_226	4.7119e-08
group_101	sp-O82898-YUBF_ECO57	4.7119e-08
group_101	sp-P23832-SAMB_SALTM	4.7119e-08
group_101	group_208	4.7119e-08
group_101	group_198	4.7119e-08
group_101	group_191	4.7119e-08
group_101	group_188	4.7119e-08
group_101	sp-Q9S4X1-YUBE_ECOLI	4.7119e-08
group_101	sp-P0A248-VIRB_SHISO	4.7119e-08
group_101	group_178	4.7119e-08
group_101	sp-P80011-TRA3_RHIME~~~sp-P55620-Y4PO_SINFN	4.7119e-08
group_101	sp-P55615-Y4PF_SINFN~~~sp-Q9HI37-TPF20_PSEAE	4.7119e-08
group_101	group_85	4.7119e-08
group_101	group_82	4.7119e-08
group_101	sp-P76072-STFR_ECOLI~~~sp-P77515-STFQ_ECOLI	2.2525e-07
group_101	group_24	4.7119e-08
group_101	group_6	4.7119e-08
group_101	group_549	1.06476e-07
group_101	group_447	1.06476e-07
group_101	sp-O82899-YUBG_ECO57~~~sp-Q9S4W9-YUBG_ECOLI	1.06476e-07
group_101	sp-P26949-CAF1A_YERPE	1.06476e-07
group_101	group_274	1.06476e-07
group_101	sp-P59696-T200_SALTY	1.06476e-07
group_101	group_241	1.06476e-07
group_101	sp-P76155-TFAQ_ECOLI	1.06476e-07
group_101	group_234	1.06476e-07
group_101	sp-P26948-CAF1_YERPE	1.06476e-07
group_101	sp-P26926-CAF1M_YERPE	1.06476e-07
group_101	sp-P26950-CAF1R_YERPE	1.06476e-07
group_101	sp-Q1CC63-YUBL_YERPN	1.06476e-07
group_101	group_78	1.06476e-07
group_101	sp-Q9ZGR8-YUBM_ECO57	1.06476e-07
group_101	group_523	2.35045e-07
group_101	group_597	5.06984e-07
group_101	sp-P26837-YPS1_ECOLX	5.06984e-07
group_101	sp-Q1RK58-PLD_RICBR	5.06984e-07
group_101	sp-P0A043-T431_STAAM~~~sp-P0A045-T431_STAAW	5.06984e-07
group_101	sp-Q49184-DHP1_MYCFO	5.06984e-07
group_102	group_59	7.33929e-08
group_102	group_134	7.63884e-16
group_102	group_38	2.431e-11
group_102	group_608	1.65813e-21
group_102	sp-P15026-ISTB_PSEAI	1.65813e-21
group_102	sp-Q45618-TRA6_GEOSE	1.65813e-21
group_102	sp-Q45618-TRA6_GEOSE~~~sp-P15026-ISTB_PSEAI	1.65813e-21
group_102	group_607	2.19933e-20
group_102	group_566	2.19933e-20
group_102	group_410	2.19933e-20
group_102	group_397	2.19933e-20
group_102	group_349	2.19933e-20
group_102	group_285	2.19933e-20
group_102	sp-C0SP84-YTLA_BACSU	2.19933e-20
group_102	group_263	2.19933e-20
group_102	sp-P07620-PARA_ECOLX	2.19933e-20
group_102	sp-P37415-YTL2_SALTY	2.19933e-20
group_102	sp-Q9S4X2-YUBD_ECOLI	2.19933e-20
group_102	sp-Q47688-YKFC_ECOLI	2.19933e-20
group_102	sp-Q52563-STBA_PSEUB	2.19933e-20
group_102	group_226	2.19933e-20
group_102	sp-O82898-YUBF_ECO57	2.19933e-20
group_102	sp-P23832-SAMB_SALTM	2.19933e-20
group_102	group_208	2.19933e-20
group_102	group_198	2.19933e-20
group_102	group_191	2.19933e-20
group_102	group_188	2.19933e-20
group_102	sp-Q9S4X1-YUBE_ECOLI	2.19933e-20
group_102	sp-P0A248-VIRB_SHISO	2.19933e-20
group_102	group_178	2.19933e-20
group_102	sp-P80011-TRA3_RHIME~~~sp-P55620-Y4PO_SINFN	2.19933e-20
group_102	sp-P55615-Y4PF_SINFN~~~sp-Q9HI37-TPF20_PSEAE	2.19933e-20
group_102	group_85	2.19933e-20
group_102	group_82	2.19933e-20
group_102	sp-P76072-STFR_ECOLI~~~sp-P77515-STFQ_ECOLI	2.83962e-17
group_102	group_24	2.19933e-20
group_102	group_6	2.19933e-20
group_102	group_549	9.25964e-18
group_102	group_447	9.25964e-18
group_102	sp-O82899-YUBG_ECO57~~~sp-Q9S4W9-YUBG_ECOLI	2.64274e-19
group_102	sp-P26949-CAF1A_YERPE	2.64274e-19
group_102	group_274	2.64274e-19
group_102	sp-P59696-T200_SALTY	2.64274e-19
group_102	group_241	9.25964e-18
group_102	sp-P76155-TFAQ_ECOLI	9.25964e-18
group_102	group_234	2.64274e-19
group_102	sp-P26948-CAF1_YERPE	2.64274e-19
group_102	sp-P26926-CAF1M_YERPE	2.64274e-19
group_102	sp-P26950-CAF1R_YERPE	2.64274e-19
