Source	Target	p	successes	observations	rate	expected	total source	total target	fraction source	fraction target
group_1	group_149	2.23931e-09	165	204	0.616013	126	31	136	0.151961	0.666667
group_1	group_154	4.90691e-09	163	204	0.609189	124	31	134	0.151961	0.656863
group_1	group_159	6.91904e-16	194	204	0.735438	150	31	171	0.151961	0.838235
group_1	group_164	9.84528e-23	201	204	0.73885	151	31	172	0.151961	0.843137
group_1	group_249	1.07183e-07	154	204	0.578479	118	31	125	0.151961	0.612745
group_1	group_251	1.73071e-18	195	204	0.718378	147	31	166	0.151961	0.813725
group_1	group_252	7.85327e-08	155	204	0.581892	119	31	126	0.151961	0.617647
group_1	group_36	4.56075e-21	199	204	0.732026	149	31	170	0.151961	0.833333
group_1	group_8	3.47684e-07	150	204	0.564831	115	31	121	0.151961	0.593137
group_1	sp-P0A9K1-PHOH_ECOLI	1.1706e-07	157	204	0.59554	121	31	130	0.151961	0.637255
group_1	sp-P43754-RIR1_HAEIN~~~sp-P37426-RIR1_SALTY~~~sp-Q89AS4-RIR1_BUCBP~~~sp-Q8K9W3-RIR1_BUCAP	6.9698e-09	165	204	0.622837	127	31	138	0.151961	0.676471
group_1	sp-P43755-RIR2_HAEIN	1.48897e-09	166	204	0.619425	126	31	137	0.151961	0.671569
group_100	group_160	1.44071e-12	171	204	0.611399	125	41	140	0.20098	0.686275
group_447	group_45	4.10194e-19	190	204	0.67128	137	36	156	0.176471	0.764706
group_447	group_49	4.11502e-13	173	204	0.617359	126	36	139	0.176471	0.681373
group_100	group_252	2.11438e-09	157	204	0.570358	116	41	126	0.20098	0.617647
group_447	group_54	2.44764e-10	158	204	0.563437	115	36	122	0.176471	0.598039
group_447	group_57	1.56693e-26	201	204	0.706171	144	36	167	0.176471	0.818627
group_100	group_28	7.19125e-16	183	204	0.652441	133	41	154	0.20098	0.754902
group_447	group_72	1.63362e-14	176	204	0.620531	127	36	140	0.176471	0.686275
group_447	group_75	3.18546e-10	160	204	0.576125	118	36	126	0.176471	0.617647
group_447	group_77	3.50588e-23	197	204	0.693483	141	36	163	0.176471	0.79902
group_447	group_8	2.47029e-09	155	204	0.560265	114	36	121	0.176471	0.593137
group_447	group_83	3.50588e-23	197	204	0.693483	141	36	163	0.176471	0.79902
