Source	Target	weight
group_101	group_30	4.61752e-08
group_101	group_25	4.61752e-08
group_104	group_90	3.60523e-12
group_104	group_51	1.25732e-10
group_107	group_59	4.71792e-09
group_108	group_254	2.4738e-13
group_113	group_607	5.19829e-07
group_113	group_97	1.69181e-14
group_113	sp-P74007-SPOT_SYNY3	1.69181e-14
group_124	group_638	4.25258e-07
group_124	group_207	1.98194e-08
group_124	group_510	9.81962e-08
group_136	group_147	1.94803e-19
group_136	group_535	4.43664e-18
group_136	group_682	8.11026e-14
group_136	group_522	1.70294e-09
group_139	group_37	3.57571e-17
group_139	group_501	1.08152e-16
group_139	group_585	3.77021e-14
group_146	group_275	7.96153e-12
group_147	group_535	4.43664e-18
group_147	group_682	8.11026e-14
group_147	group_522	1.70294e-09
group_151	group_167	3.07597e-11
group_173	group_266	1.38537e-11
group_173	group_220	1.38537e-11
group_173	group_190	5.02961e-16
group_179	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	8.36653e-18
group_179	sp-P10486-T1R1_ECOLX	2.4898e-17
group_179	group_60	3.32604e-08
group_179	group_600	1.38439e-11
group_18	group_60	8.29945e-07
group_188	group_249	1.08044e-06
group_188	sp-P14307-YSMA_SERMA	3.98016e-12
group_188	group_92	3.98016e-12
group_190	group_266	1.38537e-11
group_190	group_220	1.38537e-11
group_195	sp-Q00042-TNPX_ECOLI	9.06829e-07
group_197	group_231	7.72086e-12
group_197	group_253	3.42944e-15
group_197	group_227	1.05965e-16
group_197	group_599	1.97443e-15
group_197	group_495	1.12947e-06
group_202	group_262	2.20294e-17
group_202	group_224	7.15838e-18
group_202	group_39	7.15838e-18
group_202	group_34	1.86165e-10
group_202	group_678	1.18555e-08
group_207	group_59	9.29685e-09
group_207	group_510	1.64396e-09
group_21	group_275	7.19554e-07
group_21	group_620	2.39459e-07
group_21	group_88	3.96625e-07
group_21	group_79	3.96625e-07
group_211	group_83	5.35254e-17
group_211	group_88	4.15398e-08
group_211	group_79	4.15398e-08
group_211	group_566	2.4076e-10
group_211	group_509	4.51206e-08
group_219	sp-Q47688-YKFC_ECOLI	3.37493e-15
group_219	group_644	1.04154e-11
group_220	group_266	1.51391e-18
group_224	group_262	4.82719e-16
group_224	group_39	3.04304e-19
group_224	group_34	2.4493e-09
group_224	group_678	2.72416e-09
group_227	group_231	2.35334e-13
group_227	group_253	1.11197e-15
group_227	group_599	7.76288e-14
group_228	group_265	8.4191e-07
group_228	group_264	8.4191e-07
group_228	group_267	1.07272e-06
group_228	group_42	1.07272e-06
group_231	group_51	6.87341e-07
group_231	group_253	3.32132e-11
group_231	group_599	1.95708e-09
group_234	group_509	1.24683e-08
group_249	sp-P14307-YSMA_SERMA	1.08044e-06
group_249	group_92	1.08044e-06
group_25	group_30	6.27674e-17
group_252	group_77	6.67838e-08
group_253	group_599	8.90901e-17
group_261	group_622	1.30979e-09
group_262	group_39	4.82719e-16
group_262	group_34	7.76876e-12
group_262	group_678	8.37863e-08
group_263	group_85	2.09809e-12
group_264	group_265	8.4191e-07
group_264	group_267	1.07272e-06
group_264	group_42	1.07272e-06
group_265	group_267	1.07272e-06
group_265	group_42	1.07272e-06
group_34	group_682	1.19464e-06
group_34	group_39	2.4493e-09
group_34	group_507	8.33741e-09
group_34	group_57	6.50387e-07
group_34	group_98	6.60367e-08
group_34	group_678	1.00229e-08
group_36	group_669	7.30399e-07
group_36	group_49	2.89126e-07
group_36	group_620	5.00647e-08
group_37	group_673	6.16082e-07
group_37	group_501	4.77742e-17
