Source	Target	p	successes (OA(ij))	observations	expected (EA(ij))	total source	total target	fraction source	fraction target
group_495	group_509	1.55401e-07	14	226	2	28	19	0.123894	0.0840708
group_501	group_585	2.17844e-15	66	226	23	78	67	0.345133	0.29646
group_507	group_678	3.61782e-08	19	226	4	38	24	0.168142	0.106195
group_101	group_25	4.61752e-08	24	226	6	54	27	0.238938	0.119469
group_101	group_30	4.61752e-08	24	226	6	54	27	0.238938	0.119469
group_508	group_591	1.71822e-07	35	226	13	60	50	0.265487	0.221239
group_509	group_56	3.04583e-07	12	226	2	19	21	0.0840708	0.0929204
group_509	group_566	8.25752e-09	14	226	2	19	22	0.0840708	0.0973451
group_509	group_63	3.04583e-07	12	226	2	19	21	0.0840708	0.0929204
group_509	group_79	5.55327e-08	15	226	3	19	30	0.0840708	0.132743
group_509	group_83	1.39949e-07	16	226	3	19	37	0.0840708	0.163717
group_509	group_88	5.55327e-08	15	226	3	19	30	0.0840708	0.132743
group_51	group_90	1.95491e-12	121	226	70	121	131	0.535398	0.579646
group_522	group_535	7.35585e-09	26	226	7	28	55	0.123894	0.243363
group_104	group_51	1.25732e-10	111	226	65	122	121	0.539823	0.535398
group_104	group_90	3.60523e-12	121	226	71	122	131	0.539823	0.579646
group_535	group_678	5.76988e-07	21	226	6	55	24	0.243363	0.106195
group_535	group_682	2.98291e-14	45	226	12	55	50	0.243363	0.221239
group_107	group_59	4.71792e-09	40	226	14	74	44	0.327434	0.19469
group_536	sp-Q7V395-MNME_PROMP~~~sp-B0KBA1-ENGB_THEP3	6.93935e-15	23	226	3	24	25	0.106195	0.110619
group_108	group_254	2.4738e-13	127	226	74	131	127	0.579646	0.561947
group_557	group_566	7.97837e-07	20	226	5	56	22	0.247788	0.0973451
group_56	group_566	2.82732e-08	14	226	2	21	22	0.0929204	0.0973451
group_56	group_63	1.72508e-15	21	226	2	21	21	0.0929204	0.0929204
group_56	group_79	1.13435e-06	14	226	3	21	30	0.0929204	0.132743
group_56	group_88	1.13435e-06	14	226	3	21	30	0.0929204	0.132743
group_566	group_609	7.97837e-07	20	226	5	22	56	0.0973451	0.247788
group_566	group_63	2.82732e-08	14	226	2	22	21	0.0973451	0.0929204
group_566	group_683	4.57198e-07	20	226	5	22	54	0.0973451	0.238938
group_566	group_79	4.27657e-13	22	226	3	22	30	0.0973451	0.132743
group_566	group_83	1.01205e-09	20	226	4	22	37	0.0973451	0.163717
group_566	group_88	4.27657e-13	22	226	3	22	30	0.0973451	0.132743
group_566	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	4.32864e-08	22	226	5	22	56	0.0973451	0.247788
group_579	group_60	5.98566e-07	64	226	35	101	78	0.446903	0.345133
group_113	group_607	5.19829e-07	12	226	2	20	21	0.0884956	0.0929204
group_113	group_97	1.69181e-14	19	226	2	20	19	0.0884956	0.0840708
group_113	sp-P74007-SPOT_SYNY3	1.69181e-14	19	226	2	20	19	0.0884956	0.0840708
group_585	group_79	3.65426e-07	27	226	9	67	30	0.29646	0.132743
group_585	group_88	3.65426e-07	27	226	9	67	30	0.29646	0.132743
group_592	sp-P03009-TRA2_ECOLX	7.14229e-10	12	226	1	12	19	0.0530973	0.0840708
group_60	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	5.01826e-08	62	226	31	78	90	0.345133	0.39823
group_60	sp-P10486-T1R1_ECOLX	1.29016e-07	60	226	30	78	88	0.345133	0.389381
group_600	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	2.17071e-11	59	226	23	59	90	0.261062	0.39823
group_600	sp-P10486-T1R1_ECOLX	8.42284e-11	57	226	23	59	88	0.261062	0.389381
group_607	group_97	3.04583e-07	12	226	2	21	19	0.0929204	0.0840708
group_607	sp-P74007-SPOT_SYNY3	3.04583e-07	12	226	2	21	19	0.0929204	0.0840708
group_609	group_683	6.81623e-08	36	226	13	56	54	0.247788	0.238938
group_63	group_79	1.13435e-06	14	226	3	21	30	0.0929204	0.132743
group_63	group_88	1.13435e-06	14	226	3	21	30	0.0929204	0.132743
group_124	group_207	1.98194e-08	16	226	3	32	19	0.141593	0.0840708
group_124	group_510	9.81962e-08	14	226	2	32	16	0.141593	0.0707965
group_124	group_638	4.25258e-07	17	226	4	32	27	0.141593	0.119469
group_644	sp-Q47688-YKFC_ECOLI	1.04154e-11	15	226	1	15	20	0.0663717	0.0884956
group_67	sp-Q00042-TNPX_ECOLI	5.85609e-18	36	226	6	37	36	0.163717	0.159292
group_71	sp-P51565-TNP9_ECOLX~~~sp-P06695-TNP5_PSEAI	5.43589e-07	9	226	1	14	15	0.0619469	0.0663717
group_79	group_83	1.59042e-07	20	226	5	30	37	0.132743	0.163717
group_79	group_88	1.75482e-17	30	226	4	30	30	0.132743	0.132743
group_83	group_88	1.59042e-07	20	226	5	37	30	0.163717	0.132743
group_136	group_147	1.94803e-19	59	226	15	59	59	0.261062	0.261062
group_136	group_522	1.70294e-09	28	226	7	59	28	0.261062	0.123894
group_136	group_535	4.43664e-18	55	226	14	59	55	0.261062	0.243363
group_136	group_682	8.11026e-14	46	226	13	59	50	0.261062	0.221239
group_92	sp-P14307-YSMA_SERMA	3.98016e-12	12	226	1	12	12	0.0530973	0.0530973
group_97	sp-P74007-SPOT_SYNY3	6.87018e-15	19	226	2	19	19	0.0840708	0.0840708
group_139	group_37	3.57571e-17	80	226	30	85	80	0.376106	0.353982
group_139	group_501	1.08152e-16	78	226	29	85	78	0.376106	0.345133
group_139	group_585	3.77021e-14	67	226	25	85	67	0.376106	0.29646
sp-P0C1G2-TNR7_ECOLX	sp-P51565-TNP9_ECOLX~~~sp-P06695-TNP5_PSEAI	1.20602e-12	14	226	1	14	15	0.0619469	0.0663717
sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	sp-P10486-T1R1_ECOLX	1.43443e-17	88	226	35	90	88	0.39823	0.389381
group_146	group_275	7.96153e-12	100	226	53	104	116	0.460177	0.513274
group_147	group_522	1.70294e-09	28	226	7	59	28	0.261062	0.123894
group_147	group_535	4.43664e-18	55	226	14	59	55	0.261062	0.243363
group_147	group_682	8.11026e-14	46	226	13	59	50	0.261062	0.221239
group_151	group_167	3.07597e-11	145	226	96	148	146	0.654867	0.646018
group_173	group_190	5.02961e-16	23	226	2	23	23	0.10177	0.10177
group_173	group_220	1.38537e-11	23	226	4	23	38	0.10177	0.168142
group_173	group_266	1.38537e-11	23	226	4	23	38	0.10177	0.168142
group_179	group_60	3.32604e-08	62	226	31	89	78	0.393805	0.345133
group_179	group_600	1.38439e-11	59	226	23	89	59	0.393805	0.261062
group_179	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	8.36653e-18	89	226	35	89	90	0.393805	0.39823
group_179	sp-P10486-T1R1_ECOLX	2.4898e-17	87	226	35	89	88	0.393805	0.389381
group_18	group_60	8.29945e-07	76	226	45	130	78	0.575221	0.345133
group_188	group_249	1.08044e-06	8	226	1	12	14	0.0530973	0.0619469
group_188	group_92	3.98016e-12	12	226	1	12	12	0.0530973	0.0530973
group_188	sp-P14307-YSMA_SERMA	3.98016e-12	12	226	1	12	12	0.0530973	0.0530973
group_190	group_220	1.38537e-11	23	226	4	23	38	0.10177	0.168142
group_190	group_266	1.38537e-11	23	226	4	23	38	0.10177	0.168142
group_195	sp-Q00042-TNPX_ECOLI	9.06829e-07	29	226	11	66	36	0.292035	0.159292
group_197	group_227	1.05965e-16	37	226	7	37	42	0.163717	0.185841
group_197	group_231	7.72086e-12	37	226	10	37	61	0.163717	0.269912
group_197	group_253	3.42944e-15	37	226	8	37	47	0.163717	0.207965
group_197	group_495	1.12947e-06	18	226	5	37	28	0.163717	0.123894
group_197	group_599	1.97443e-15	35	226	7	37	41	0.163717	0.181416
group_202	group_224	7.15838e-18	48	226	11	52	48	0.230088	0.212389
group_202	group_262	2.20294e-17	52	226	13	52	58	0.230088	0.256637
group_202	group_34	1.86165e-10	31	226	8	52	35	0.230088	0.154867
group_202	group_39	7.15838e-18	48	226	11	52	48	0.230088	0.212389
group_202	group_678	1.18555e-08	23	226	6	52	24	0.230088	0.106195
group_207	group_510	1.64396e-09	13	226	1	19	16	0.0840708	0.0707965
group_207	group_59	9.29685e-09	19	226	4	19	44	0.0840708	0.19469
group_21	group_275	7.19554e-07	69	226	39	76	116	0.336283	0.513274
group_21	group_620	2.39459e-07	30	226	10	76	31	0.336283	0.137168
group_21	group_79	3.96625e-07	29	226	10	76	30	0.336283	0.132743
group_21	group_88	3.96625e-07	29	226	10	76	30	0.336283	0.132743
group_211	group_509	4.51206e-08	16	226	3	34	19	0.150442	0.0840708
group_211	group_566	2.4076e-10	20	226	3	34	22	0.150442	0.0973451
group_211	group_79	4.15398e-08	20	226	5	34	30	0.150442	0.132743
group_211	group_83	5.35254e-17	34	226	6	34	37	0.150442	0.163717
group_211	group_88	4.15398e-08	20	226	5	34	30	0.150442	0.132743
group_219	group_644	1.04154e-11	15	226	1	20	15	0.0884956	0.0663717
group_219	sp-Q47688-YKFC_ECOLI	3.37493e-15	20	226	2	20	20	0.0884956	0.0884956
group_220	group_266	1.51391e-18	38	226	6	38	38	0.168142	0.168142
group_224	group_262	4.82719e-16	48	226	12	48	58	0.212389	0.256637
group_224	group_34	2.4493e-09	28	226	7	48	35	0.212389	0.154867
group_224	group_39	3.04304e-19	48	226	10	48	48	0.212389	0.212389
group_224	group_678	2.72416e-09	23	226	5	48	24	0.212389	0.106195
group_227	group_231	2.35334e-13	42	226	11	42	61	0.185841	0.269912
group_227	group_253	1.11197e-15	40	226	9	42	47	0.185841	0.207965
group_227	group_599	7.76288e-14	35	226	8	42	41	0.185841	0.181416
group_228	group_264	8.4191e-07	187	226	155	187	187	0.827434	0.827434
group_228	group_265	8.4191e-07	187	226	155	187	187	0.827434	0.827434
group_228	group_267	1.07272e-06	186	226	154	187	186	0.827434	0.823009
group_228	group_42	1.07272e-06	186	226	154	187	186	0.827434	0.823009
group_231	group_253	3.32132e-11	41	226	13	61	47	0.269912	0.207965
group_231	group_51	6.87341e-07	61	226	33	61	121	0.269912	0.535398
group_231	group_599	1.95708e-09	35	226	11	61	41	0.269912	0.181416
group_234	group_509	1.24683e-08	18	226	3	40	19	0.176991	0.0840708
group_249	group_92	1.08044e-06	8	226	1	14	12	0.0619469	0.0530973
group_249	sp-P14307-YSMA_SERMA	1.08044e-06	8	226	1	14	12	0.0619469	0.0530973
group_25	group_30	6.27674e-17	27	226	3	27	27	0.119469	0.119469
group_252	group_77	6.67838e-08	17	226	3	27	28	0.119469	0.123894
group_253	group_599	8.90901e-17	41	226	9	47	41	0.207965	0.181416
group_261	group_622	1.30979e-09	166	226	122	166	166	0.734513	0.734513
group_262	group_34	7.76876e-12	35	226	9	58	35	0.256637	0.154867
group_262	group_39	4.82719e-16	48	226	12	58	48	0.256637	0.212389
group_262	group_678	8.37863e-08	23	226	6	58	24	0.256637	0.106195
group_263	group_85	2.09809e-12	16	226	1	16	20	0.0707965	0.0884956
group_264	group_265	8.4191e-07	187	226	155	187	187	0.827434	0.827434
group_264	group_267	1.07272e-06	186	226	154	187	186	0.827434	0.823009
group_264	group_42	1.07272e-06	186	226	154	187	186	0.827434	0.823009
group_265	group_267	1.07272e-06	186	226	154	187	186	0.827434	0.823009
group_265	group_42	1.07272e-06	186	226	154	187	186	0.827434	0.823009
group_34	group_39	2.4493e-09	28	226	7	35	48	0.154867	0.212389
group_34	group_507	8.33741e-09	24	226	6	35	38	0.154867	0.168142
group_34	group_57	6.50387e-07	21	226	6	35	38	0.154867	0.168142
group_34	group_678	1.00229e-08	19	226	4	35	24	0.154867	0.106195
group_34	group_682	1.19464e-06	24	226	8	35	50	0.154867	0.221239
group_34	group_98	6.60367e-08	20	226	5	35	30	0.154867	0.132743
group_36	group_49	2.89126e-07	17	226	4	21	40	0.0929204	0.176991
group_36	group_620	5.00647e-08	16	226	3	21	31	0.0929204	0.137168
group_36	group_669	7.30399e-07	19	226	5	21	53	0.0929204	0.234513
group_37	group_501	4.77742e-17	76	226	28	80	78	0.353982	0.345133
group_37	group_585	2.58356e-14	65	226	24	80	67	0.353982	0.29646
group_37	group_673	6.16082e-07	66	226	36	80	103	0.353982	0.455752
group_39	group_678	2.72416e-09	23	226	5	48	24	0.212389	0.106195
group_41	sp-Q9ZJ24-YF88_HELPJ~~~sp-P75617-YAAW_ECOLI	6.27674e-17	27	226	3	27	27	0.119469	0.119469
group_484	group_557	1.40064e-14	42	226	10	42	56	0.185841	0.247788
group_484	group_566	2.22402e-07	18	226	4	42	22	0.185841	0.0973451
group_484	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	7.40882e-07	29	226	10	42	56	0.185841	0.247788
group_49	group_620	4.83904e-08	22	226	5	40	31	0.176991	0.137168
group_49	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	8.21275e-08	30	226	10	40	56	0.176991	0.247788
