Source	Target	weight
group_104	group_18	9.28063e-09
group_104	group_524	5.64598e-09
group_104	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	2.91443e-43
group_104	group_179	2.59982e-44
group_104	sp-P10486-T1R1_ECOLX	5.15426e-41
group_104	group_60	9.72514e-13
group_104	group_600	1.24236e-18
group_107	group_147	1.70861e-07
group_107	group_136	1.70861e-07
group_107	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	6.50979e-07
group_107	group_535	1.0012e-06
group_108	sp-P58726-CSPJ_SALTI	8.57472e-20
group_118	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	1.55597e-07
group_118	group_179	4.96695e-07
group_118	sp-P10486-T1R1_ECOLX	3.6321e-07
group_129	group_159	8.47718e-23
group_138	group_598	4.27835e-11
group_138	group_89	8.39166e-54
group_138	group_18	7.40229e-12
group_138	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	4.8987e-09
group_138	group_179	1.80269e-09
group_138	sp-P10486-T1R1_ECOLX	1.67086e-08
group_138	group_60	2.64627e-07
group_139	group_151	1.17039e-06
group_139	group_84	2.30342e-18
group_139	group_524	2.15067e-07
group_139	group_579	6.09038e-08
group_140	group_151	8.76973e-07
group_140	group_18	9.42986e-08
group_140	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	1.13714e-09
group_140	group_179	3.62178e-09
group_140	sp-P10486-T1R1_ECOLX	3.56645e-10
group_140	group_262	2.55361e-09
group_145	group_195	2.6579e-07
group_146	group_151	9.72514e-13
group_146	group_167	1.03244e-13
group_146	group_89	7.96813e-09
group_146	group_18	1.6667e-30
group_146	group_579	1.88337e-10
group_146	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	1.08008e-14
group_146	group_179	3.26871e-15
group_146	sp-P10486-T1R1_ECOLX	7.99323e-14
group_146	group_60	3.25448e-18
group_146	group_600	2.11751e-07
group_146	group_591	2.69681e-09
group_151	group_275	2.91757e-15
group_151	group_673	4.76559e-07
group_151	group_37	3.95875e-07
group_151	group_501	1.39226e-07
group_151	group_21	4.80364e-55
group_151	group_585	1.12058e-09
group_151	group_530	6.1018e-07
group_151	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	1.15584e-09
group_151	group_620	5.6434e-09
group_151	group_88	9.05294e-08
group_151	group_79	9.05294e-08
group_167	group_275	2.82557e-14
group_167	group_37	1.0996e-06
group_167	group_501	3.95875e-07
group_167	group_21	4.28001e-52
group_167	group_585	3.39313e-09
group_167	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	3.07676e-09
group_167	group_620	5.78878e-08
group_167	group_88	1.58431e-07
group_167	group_79	1.58431e-07
group_178	group_673	6.34154e-08
group_178	group_21	1.34885e-11
group_178	group_585	1.60081e-08
group_179	group_90	2.03011e-54
group_179	group_51	2.32955e-43
group_179	group_275	4.27363e-17
group_179	group_31	5.67073e-11
group_179	group_402	1.5506e-07
group_179	group_231	9.88265e-11
group_179	group_253	5.46528e-07
group_18	group_622	5.58372e-07
group_18	group_261	5.58372e-07
group_18	group_90	1.41628e-09
group_18	group_275	2.97701e-24
group_18	group_31	2.44392e-07
group_18	group_21	8.17576e-11
group_195	group_265	2.84705e-07
