Source	Target	p	successes	observations	rate	expected	total source	total target	fraction source	fraction target
group_501	group_579	1.24279e-06	145	226	0.483554	109	78	101	0.345133	0.446903
group_501	group_84	3.08272e-19	186	226	0.539745	122	78	142	0.345133	0.628319
group_508	group_521	6.00611e-07	163	226	0.56226	127	60	143	0.265487	0.632743
group_51	group_60	2.00809e-12	167	226	0.510964	115	121	78	0.535398	0.345133
group_51	group_600	2.67667e-18	180	226	0.516916	117	121	59	0.535398	0.261062
group_51	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	1.60418e-44	211	226	0.507205	115	121	90	0.535398	0.39823
group_51	sp-P10486-T1R1_ECOLX	3.16094e-42	209	226	0.507831	115	121	88	0.535398	0.389381
group_521	group_591	1.90586e-07	167	226	0.574007	130	143	50	0.632743	0.221239
group_521	group_60	9.98681e-08	161	226	0.541115	122	143	78	0.632743	0.345133
group_104	group_179	2.59982e-44	211	226	0.508458	115	122	89	0.539823	0.393805
group_104	group_18	9.28063e-09	154	226	0.494009	112	122	130	0.539823	0.575221
group_104	group_524	5.64598e-09	155	226	0.495771	112	122	125	0.539823	0.553097
group_104	group_60	9.72514e-13	168	226	0.512335	116	122	78	0.539823	0.345133
group_104	group_600	1.24236e-18	181	226	0.51903	117	122	59	0.539823	0.261062
group_524	group_54	1.18491e-08	156	226	0.504699	114	125	103	0.553097	0.455752
group_104	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	2.91443e-43	210	226	0.508106	115	122	90	0.539823	0.39823
group_104	sp-P10486-T1R1_ECOLX	5.15426e-41	208	226	0.50881	115	122	88	0.539823	0.389381
group_524	group_673	5.58243e-08	154	226	0.504699	114	125	103	0.553097	0.455752
group_524	group_73	4.58495e-07	151	226	0.504229	114	125	104	0.553097	0.460177
group_524	group_90	6.04647e-09	154	226	0.491542	111	125	131	0.553097	0.579646
group_107	group_136	1.70861e-07	133	226	0.417535	94	74	59	0.327434	0.261062
group_107	group_147	1.70861e-07	133	226	0.417535	94	74	59	0.327434	0.261062
group_107	group_535	1.0012e-06	129	226	0.411426	93	74	55	0.327434	0.243363
group_107	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	6.50979e-07	130	226	0.412953	93	74	56	0.327434	0.247788
group_108	sp-P58726-CSPJ_SALTI	8.57472e-20	187	226	0.540175	122	131	56	0.579646	0.247788
group_54	group_86	7.80599e-12	160	226	0.484337	109	103	73	0.455752	0.323009
group_557	group_621	6.54315e-09	183	226	0.633918	143	56	173	0.247788	0.765487
group_585	group_84	4.69973e-25	197	226	0.552236	125	67	142	0.29646	0.628319
